Fluxo,Ano,Países,Valor US$ FOB
Exportação ,2022,Islândia,271424359
Exportação ,2022,Guiana,262161431
Exportação ,2022,Líbano,252618047
Exportação ,2022,Malta,247389509
Exportação ,2022,El Salvador,226134567
Exportação ,2022,Honduras,214007395
Exportação ,2022,Porto Rico,205178894
Exportação ,2022,Costa do Marfim,170357491
Exportação ,2022,"Congo, República Democrática",159534560
Exportação ,2022,Nicarágua,146017023
Exportação ,2022,Brasil,143938341
Exportação ,2022,Letônia,134223601
Exportação ,2022,Mauritânia,133455534
Exportação ,2022,Camarões,126113765
Exportação ,2022,Uzbequistão,118602468
Exportação ,2022,Gibraltar,118548009
Exportação ,2022,Nova Zelândia,116952720
Exportação ,2022,Gâmbia,113836106
Exportação ,2022,Guiné,110595092
Exportação ,2022,Áustria,109929160
Exportação ,2022,Croácia,109114088
Exportação ,2022,Chipre,101993828
Exportação ,2022,Albânia,90501023
Exportação ,2022,Ucrânia,89595766
Exportação ,2022,Moçambique,87018958
Exportação ,2022,Sudão,82998691
Exportação ,2022,Luxemburgo,79299742
Exportação ,2022,Benin,78413786
Exportação ,2022,"Bonaire, Saint Eustatius e Saba",77175320
Exportação ,2022,Quênia,68591745
Exportação ,2022,Mianmar,64418806
Exportação ,2022,Congo,63737099
Exportação ,2022,Haiti,61149236
Exportação ,2022,Antígua e Barbuda,57307383
Exportação ,2022,Sérvia,56712409
Exportação ,2022,Hungria,50207666
Exportação ,2022,"Tcheca, República",50059162
Exportação ,2022,Madagascar,48553231
Exportação ,2022,Maurício,47057384
Exportação ,2022,Suriname,43831655
Exportação ,2022,Gabão,42946932
Exportação ,2022,Somália,42080433
Exportação ,2022,Lituânia,40631091
Exportação ,2022,Estônia,40589495
Exportação ,2022,Aruba,39212494
Exportação ,2022,República Centro-Africana,37613858
Exportação ,2022,Curaçao,36560114
Exportação ,2022,Tanzânia,34433398
Exportação ,2022,Eslováquia,34136678
Exportação ,2022,Barbados,32204522
Exportação ,2022,Camboja,31373125
Exportação ,2022,Azerbaijão,30707242
Exportação ,2022,Serra Leoa,30696191
Exportação ,2022,Cabo Verde,30591105
Exportação ,2022,Palestina,30097472
Exportação ,2022,Ilha de Man,28733067
Exportação ,2022,Etiópia,28713223
Exportação ,2022,Maldivas,28184435
Exportação ,2022,Cazaquistão,27258020
Exportação ,2022,Guiné Equatorial,21194477
Exportação ,2022,Montenegro,20849121
Exportação ,2022,Sri Lanka,20364599
Exportação ,2022,Namíbia,19286219
Exportação ,2022,Djibuti,17791162
Exportação ,2022,Macedônia,17536700
Exportação ,2022,Síria,17171270
Exportação ,2022,Liechtenstein,16820722
Exportação ,2022,Granada,16125748
Exportação ,2022,Turcomenistão,14692095
Exportação ,2022,Nova Caledônia,14599743
Exportação ,2022,Sint Maarten,14363108
Exportação ,2022,Belize,13929463
Exportação ,2022,Timor Leste,13769795
Exportação ,2022,Uganda,12695980
Exportação ,2022,Martinica,11186144
Exportação ,2022,Mayotte,11088290
Exportação ,2022,"Cayman, Ilhas",10871707
Exportação ,2022,Guadalupe,10381462
Exportação ,2022,Seicheles,9739326
Exportação ,2022,Armênia,9670326
Exportação ,2022,São Vicente e Granadinas,8764794
Exportação ,2022,"Virgens, Ilhas (Britânicas)",8584882
Exportação ,2022,Polinésia Francesa,8334777
Exportação ,2022,Comores,8029975
Exportação ,2022,Nepal,7779271
Exportação ,2022,Guiana Francesa,7507046
Exportação ,2022,Burkina Faso,6943562
Exportação ,2022,Zâmbia,6911309
Exportação ,2022,Belarus,6595664
Exportação ,2022,Zimbábue,6430702
Exportação ,2022,Bermudas,5687413
Exportação ,2022,Chade,5647410
Exportação ,2022,Reunião,5318280
Exportação ,2022,Dominica,5156755
Exportação ,2022,Mali,4991499
Exportação ,2022,Sudão do Sul,4477579
Exportação ,2022,Moldávia,4291348
Exportação ,2022,São Cristóvão e Névis,4214918
Exportação ,2022,São Tomé e Príncipe,3959326
Exportação ,2022,Macau,3918490
Exportação ,2022,São Bartolomeu,3224305
Exportação ,2022,Malavi,3187908
Exportação ,2022,Papua Nova Guiné,2971400
Exportação ,2022,Santa Lúcia,2910366
Exportação ,2022,Tonga,2802907
Exportação ,2022,Afeganistão,2751417
Exportação ,2022,Níger,2627944
Exportação ,2022,Bósnia-Herzegovina,2618971
Exportação ,2022,Guiné-Bissau,2148738
Exportação ,2022,Ruanda,1966214
Exportação ,2022,"Norfolk, Ilha",1960994
Exportação ,2022,"Turcas e Caicos, Ilhas",1928649
Exportação ,2022,Mongólia,1841202
Exportação ,2022,Botsuana,1824836
Exportação ,2022,Fiji,1821004
Exportação ,2022,Butão,1762189
Exportação ,2022,Samoa Americana,1588762
Exportação ,2022,Samoa,1540343
Exportação ,2022,Laos,1372211
Exportação ,2022,Guam,1156492
Exportação ,2022,Pitcairn,974130
Exportação ,2022,Anguilla,937232
Exportação ,2022,Terras Austrais Francesas,897213
Exportação ,2022,Brunei,854748
Exportação ,2022,"Cook, Ilhas",805683
Exportação ,2022,"São Martinho, Ilha de (parte francesa)",528902
Exportação ,2022,Niue,526168
Exportação ,2022,Vanuatu,500259
Exportação ,2022,Kiribati,416031
Exportação ,2022,Quirguistão,328288
Exportação ,2022,"Pacífico, Ilhas do (EUA)",318263
Exportação ,2022,Antártica,307904
Exportação ,2022,"Heard e ilhas mcdonald, Ilha",303714
Exportação ,2022,Montserrat,240509
Exportação ,2022,Micronésia,193603
Exportação ,2022,Falkland (Malvinas),160886
