Fluxo,Ano,Países,Valor US$ FOB
Importação ,2022,Porto Rico,388602814
Importação ,2022,Belarus,372942181
Importação ,2022,Venezuela,360846897
Importação ,2022,Romênia,346100718
Importação ,2022,Coveite (Kuweit),331431518
Importação ,2022,Eslováquia,317161410
Importação ,2022,Filipinas,314260244
Importação ,2022,Brasil,305187885
Importação ,2022,Barein,242659048
Importação ,2022,Jordânia,181416872
Importação ,2022,Cazaquistão,163041647
Importação ,2022,Bulgária,162867827
Importação ,2022,Bangladesh,160014704
Importação ,2022,Irã,139172710
Importação ,2022,Tunísia,129411133
Importação ,2022,Togo,128313669
Importação ,2022,Costa Rica,125434539
Importação ,2022,Eslovênia,110366847
Importação ,2022,Equador,109765620
Importação ,2022,Paquistão,108116136
Importação ,2022,Costa do Marfim,105654583
Importação ,2022,Sri Lanka,77021873
Importação ,2022,Lituânia,72314203
Importação ,2022,Nova Zelândia,72302656
Importação ,2022,Guatemala,69096238
Importação ,2022,Sérvia,67378968
Importação ,2022,Camboja,65447382
Importação ,2022,Grécia,54526612
Importação ,2022,Letônia,54030558
Importação ,2022,Gibraltar,53727458
Importação ,2022,Estônia,53144046
Importação ,2022,Luxemburgo,51724719
Importação ,2022,Ucrânia,50952715
Importação ,2022,Bahamas,40878313
Importação ,2022,Líbano,29901855
Importação ,2022,Honduras,29255868
Importação ,2022,República Dominicana,29085354
Importação ,2022,Turcomenistão,28227200
Importação ,2022,"Virgens, Ilhas (Britânicas)",22999794
Importação ,2022,Brunei,20462286
Importação ,2022,Malta,19165379
Importação ,2022,Macedônia,19098349
Importação ,2022,Croácia,17605697
Importação ,2022,Islândia,16818772
Importação ,2022,Liechtenstein,15475278
Importação ,2022,Panamá,14080934
Importação ,2022,San Marino,13541310
Importação ,2022,Mianmar,11755560
Importação ,2022,Macau,9896020
Importação ,2022,"Congo, República Democrática",9381891
Importação ,2022,Gana,8645679
Importação ,2022,Tadjiquistão,7760939
Importação ,2022,El Salvador,7218459
Importação ,2022,Nicarágua,5899236
Importação ,2022,Mônaco,5146158
Importação ,2022,"Cayman, Ilhas",4769427
Importação ,2022,Bósnia-Herzegovina,4662666
Importação ,2022,Azerbaijão,3829966
Importação ,2022,Madagascar,3804217
Importação ,2022,Moldávia,3612144
Importação ,2022,Zâmbia,3404347
Importação ,2022,Laos,3299744
Importação ,2022,Síria,3112873
Importação ,2022,Moçambique,2717170
Importação ,2022,Cuba,2669867
Importação ,2022,Chipre,2653125
Importação ,2022,Senegal,2349306
Importação ,2022,Geórgia,2094181
Importação ,2022,Malavi,2076670
Importação ,2022,Tanzânia,2037427
Importação ,2022,Samoa,1942558
Importação ,2022,Albânia,1746145
Importação ,2022,Toquelau,1526563
Importação ,2022,Camarões,1496411
Importação ,2022,Quênia,1263147
Importação ,2022,"Aland, Ilhas",1224682
Importação ,2022,Mali,929960
Importação ,2022,Seicheles,781879
Importação ,2022,Mongólia,777944
Importação ,2022,Bermudas,739475
Importação ,2022,Iraque,602371
Importação ,2022,Haiti,550281
Importação ,2022,Maurício,518221
Importação ,2022,Butão,510305
Importação ,2022,Libéria,485592
Importação ,2022,Nepal,466497
Importação ,2022,Uzbequistão,448518
Importação ,2022,Barbados,438263
Importação ,2022,Niue,406833
Importação ,2022,"Pacífico, Ilhas do (EUA)",393163
Importação ,2022,Etiópia,389442
Importação ,2022,Serra Leoa,382573
Importação ,2022,Guiné-Bissau,362260
Importação ,2022,Afeganistão,303499
Importação ,2022,Palestina,286644
Importação ,2022,Armênia,283807
Importação ,2022,Zimbábue,217229
Importação ,2022,Anguilla,200653
Importação ,2022,Curaçao,163314
Importação ,2022,Comores,142568
Importação ,2022,Belize,113875
Importação ,2022,Papua Nova Guiné,99139
Importação ,2022,Burkina Faso,89143
Importação ,2022,Fiji,86983
Importação ,2022,Somália,72617
Importação ,2022,Chade,71328
Importação ,2022,Território Britânico do Oceano Índico,71141
Importação ,2022,Níger,71114
Importação ,2022,Jamaica,68650
Importação ,2022,Suazilândia,59106
Importação ,2022,República Centro-Africana,59033
Importação ,2022,Namíbia,58325
Importação ,2022,"Marshall, Ilhas",57292
Importação ,2022,Sudão,55892
Importação ,2022,"Cocos (Keeling), Ilhas",45596
Importação ,2022,São Cristóvão e Névis,42477
Importação ,2022,Suriname,38877
Importação ,2022,Polinésia Francesa,38129
Importação ,2022,Eritreia,33633
Importação ,2022,Ruanda,33484
Importação ,2022,Ilha de Man,31723
Importação ,2022,Nova Caledônia,31439
Importação ,2022,"Salomão, Ilhas",27871
Importação ,2022,"Virgens, Ilhas (Americanas)",27657
Importação ,2022,Vanuatu,26266
Importação ,2022,Samoa Americana,25715
Importação ,2022,"Bonaire, Saint Eustatius e Saba",25017
Importação ,2022,Nauru,23823
Importação ,2022,Reunião,20917
Importação ,2022,Guernsey,18049
Importação ,2022,Quirguistão,16139
Importação ,2022,Montenegro,15230
Importação ,2022,Botsuana,13124
Importação ,2022,Micronésia,12629
Importação ,2022,Andorra,12090
Importação ,2022,Uganda,11892
Importação ,2022,Mayotte,10050
Importação ,2022,Kiribati,9044
Importação ,2022,Cabo Verde,8685
Importação ,2022,"Christmas (Navidad), Ilha",8251
Importação ,2022,Montserrat,7399
Importação ,2022,Dominica,7285
Importação ,2022,"Geórgia do Sul e Sandwich do Sul, Ilhas",6518
Importação ,2022,Gâmbia,6281
Importação ,2022,Lesoto,6076
Importação ,2022,Bancos Centrais,4614
Importação ,2022,Jersey,4134
Importação ,2022,Gabão,3735
Importação ,2022,São Tomé e Príncipe,3199
Importação ,2022,Aruba,2811
Importação ,2022,Djibuti,2523
Importação ,2022,"Norfolk, Ilha",2501
Importação ,2022,Tonga,2374
Importação ,2022,Maldivas,1983
Importação ,2022,Guiné,1548
Importação ,2022,Guiana Francesa,1327
Importação ,2022,Coreia do Norte,1249
Importação ,2022,"Faroe, Ilhas",958
Importação ,2022,Iêmen,924
Importação ,2022,Benin,866
Importação ,2022,Granada,489
Importação ,2022,Martinica,481
Importação ,2022,Guiné Equatorial,428
Importação ,2022,Sudão do Sul,373
Importação ,2022,Santa Lúcia,333
Importação ,2022,Groenlândia,285
Importação ,2022,Timor Leste,236
Importação ,2022,Antígua e Barbuda,218
Importação ,2022,Guam,211
Importação ,2022,Falkland (Malvinas),211
Importação ,2022,Burundi,174
Importação ,2022,Tuvalu,172
Importação ,2022,Pitcairn,92
Importação ,2022,"Marianas do Norte, Ilhas",72
Importação ,2022,"São Martinho, Ilha de (parte francesa)",19
Importação ,2022,Vaticano,6
Importação ,2022,Sint Maarten,0
Importação ,2022,Palau,0
Importação ,2021,China,47650945510
Importação ,2021,Estados Unidos,39385250785
Importação ,2021,Argentina,11948896309
Importação ,2021,Alemanha,11346499464
Importação ,2021,Índia,6728421314
Importação ,2021,Rússia,5698759353
Importação ,2021,Itália,5478897569
Importação ,2021,Japão,5145678654
Importação ,2021,Coreia do Sul,5108169016
Importação ,2021,França,4812982109
Importação ,2021,México,4561248426
Importação ,2021,Chile,4421396376
Importação ,2021,Paraguai,3598376735
Importação ,2021,Espanha,3316796941
Importação ,2021,Arábia Saudita,2880884422
Importação ,2021,Vietnã,2773614326
Importação ,2021,Taiwan (Formosa),2709408172
Importação ,2021,Canadá,2574731874
Importação ,2021,Reino Unido,2544501801
Importação ,2021,Bélgica,2464032754
Importação ,2021,Suíça,2229229500
Importação ,2021,Países Baixos (Holanda),2101740064
Importação ,2021,Tailândia,2057796029
Importação ,2021,Colômbia,2013243940
Importação ,2021,Marrocos,1917952180
Importação ,2021,Uruguai,1815388909
Importação ,2021,Indonésia,1768893056
Importação ,2021,Malásia,1738827028
